ID;Название тест-кейса;Раздел;Приоритет;Предусловия;Шаги выполнения;Ожидаемый результат;Фактический результат;Статус;Автоматизация;Причина если не автоматизируется
TC-01;Успешная навигация по всем разделам приложения;Навигация;Высокий;Приложение запущено, пользователь авторизован;1. На главном экране проверить заголовок "В ХОСПИСЕ"¶2. Тапнуть "ВСЕ НОВОСТИ"¶3. Проверить заголовок "НОВОСТИ"¶4. Вернуться на главный¶5. Перейти в "Цитаты"¶6. Проверить отображение цитат¶7. Вернуться¶8. Перейти в "О приложении"¶9. Проверить информацию¶10. Вернуться на главный;Все переходы работают корректно, анимация плавная, состояние сохраняется;Все переходы работают корректно, интерфейс стабилен;Pass;Да;
TC-02;Обновление данных в разделе новостей;Новости;Средний;Находимся в разделе "НОВОСТИ";1. Выполнить свайп вниз для обновления¶2. Нажать кнопку "ОБНОВИТЬ"¶3. Проверить индикатор загрузки¶4. Дождаться завершения (макс 10 сек)¶5. Проверить отображение данных;Новости обновляются, загрузка завершается в разумное время;Новости обновляются, но при быстром обновлении возможна бесконечная загрузка;Pass (с замечанием);Да;
TC-03;Работа внешних ссылок в разделе "О приложении";О приложении;Средний;Находимся в разделе "О приложении";1. Тапнуть "Политика конфиденциальности"¶2. Проверить открытие браузера с URL https://vhospice.org/#/privacy-policy¶3. Вернуться в приложение¶4. Тапнуть "Пользовательское соглашение"¶5. Проверить открытие с URL https://vhospice.org/#/terms-of-use;Ссылки открывают соответствующие страницы в браузере;Ссылки кликабельны, открывают браузер с нужными страницами;Pass;Нет;Требуется проверка открытия внешних ссылок и корректности URL
TC-04;Проверка свайп-навигации на всех экранах;Навигация;Низкий;На любом экране приложения;1. Выполнить свайп справа налево¶2. Выполнить свайп слева направо¶3. Проверить реакцию интерфейса¶4. Нажать системную кнопку "Назад"¶5. Сравнить результаты;Корректная навигация, UI не ломается, свайпы обрабатываются адекватно;Свайп-навигация работает корректно, UI стабилен, нет случайных переходов;Pass;Да;
TC-05;Воспроизведение и восстановление от бага бесконечной загрузки;Баги;Высокий;На главном экране приложения;1. Быстро выполнить несколько свайпов вниз (3-4 раза)¶2. Проверить индикатор загрузки¶3. Подождать 30 секунд¶4. Если загрузка не завершилась, перейти в раздел "НОВОСТИ"¶5. Вернуться на главный экран¶6. Проверить состояние загрузки;Загрузка завершается самостоятельно в течение разумного времени;Загрузка не завершается самостоятельно, требуется переход в другой раздел для восстановления;Fail;Да;
TC-06;Авторизация с корректными учетными данными;Авторизация;Высокий;Приложение запущено на экране авторизации;1. Ввести логин "login2"¶2. Ввести пароль "password2"¶3. Нажать кнопку "Войти"¶4. Дождаться перехода¶5. Проверить отображение главного экрана;Успешный вход, отображение главного экрана с разделом новостей;Успешный вход, отображается главный экран с корректными элементами;Pass;Да;
TC-07;Авторизация с некорректными учетными данными;Авторизация;Средний;Приложение запущено на экране авторизации;1. Ввести неверный логин (например, "wrong")¶2. Ввести неверный пароль (например, "wrong")¶3. Нажать кнопку "Войти"¶4. Проверить сообщение¶5. Проверить возможность повторного ввода;Отображение информативного сообщения об ошибке, поля очищаются или остаются;Сообщение "Что-то пошло не так. Попробуйте позже.", поля остаются заполненными;Pass (с замечанием);Да;
TC-08;Валидация пустых полей при авторизации;Авторизация;Средний;Приложение запущено на экране авторизации;1. Оставить поле логина пустым¶2. Заполнить пароль "password2"¶3. Нажать кнопку "Войти"¶4. Проверить сообщение¶5. Заполнить логин "login2"¶6. Оставить пустой пароль¶7. Нажать кнопку "Войти"¶8. Проверить сообщение¶9. Оба поля пустые¶10. Нажать кнопку "Войти"¶11. Проверить сообщение;Валидация на клиенте для всех случаев пустых полей;Только при обоих пустых полях: "Логин и пароль не могут быть пустыми"¶При одном пустом поле: "Что-то пошло не так. Попробуйте позже.";Fail;Да;
TC-09;Прокрутка и отображение списка цитат;Цитаты;Низкий;В разделе "Цитаты";1. Выполнить свайп вверх для прокрутки¶2. Выполнить свайп вниз¶3. Проверить плавность анимации¶4. Проверить отображение всех цитат¶5. Проверить форматирование текста;Плавная прокрутка, все цитаты доступны, текст читаем, форматирование сохранено;Прокрутка плавная, все цитаты доступны, кавычки и авторы отображаются корректно;Pass;Да;
TC-10;Смена ориентации экрана на всех разделах;Адаптивность;Средний;На главном экране, в новостях, цитатах, о приложении;1. Повернуть устройство в ландшафтную ориентацию¶2. Проверить отображение всех элементов¶3. Проверить доступность функций¶4. Повернуть обратно в портрет¶5. Повторить для всех разделов;Корректное отображение в обеих ориентациях, элементы не наезжают друг на друга;Элементы отображаются корректно в обеих ориентациях, layout адаптируется;Pass;Нет;Требуется ручная проверка адаптивности layout
TC-11;Проверка сохранения состояния при перезапуске;Авторизация;Средний;Пользователь авторизован на главном экране;1. Свернуть приложение¶2. Запустить другое приложение¶3. Вернуться в тестируемое приложение¶4. Проверить сохранение экрана¶5. Перезапустить приложение полностью¶6. Проверить состояние авторизации;При возврате состояние сохраняется, при перезапуске требуется повторная авторизация;При возврате состояние сохраняется, при перезапуске требуется повторный вход;Pass;Нет;Требуется проверка на разных версиях Android и сценариях
TC-12;Работа приложения при смене типа сети;Сеть;Средний;Приложение запущено и работает с активным интернетом;1. Переключиться с WiFi на мобильные данные¶2. Выполнить обновление в разделе новостей¶3. Переключиться обратно на WiFi¶4. Выполнить обновление цитат¶5. Отключить интернет полностью¶6. Попробовать обновление;Приложение работает стабильно при смене сети, показывает ошибку при отсутствии соединения;Приложение работает корректно при смене типа сети, при отсутствии интернета показывает ошибку;Pass;Нет;Требуется симуляция разных сетевых условий
TC-13;Проверка отображения версии приложения;О приложении;Низкий;В разделе "О приложении";1. Найти отображение версии¶2. Сравнить с ожидаемой "1.0.0"¶3. Проверить форматирование (шрифт, размер)¶4. Проверить расположение на экране;Отображается версия 1.0.0 в указанном месте, форматирование соответствует дизайну;Отображается версия 1.0.0, расположение соответствует скриншотам;Pass;Да;
TC-14;Отображение пустого состояния в разделе новостей;Новости;Средний;В разделе "НОВОСТИ" нет данных;1. Открыть раздел новостей¶2. Проверить отображение состояния¶3. Проверить текст "Здесь пока ничего нет..."¶4. Проверить кнопку "ОБНОВИТЬ"¶5. Проверить возможность свайп-обновления;Отображается информативное сообщение, кнопка обновления доступна;Сообщение "Здесь пока ничего нет..." отображается корректно, кнопка активна;Pass;Да;
